"Source:","G:\Mi unidad\PCBs\Regulador de tension\Regulador de tension\Regulador de tension.kicad_sch"
"Date:","3/4/2023 16:41:35"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"Bateria1, ","1","Conn_01x02","Conn_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"C1, C3, ","2","100n","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C2, ","1","1000u","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Polarized capacitor",""
"D1, ","1","LED","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"D2, ","1","SB540","DIODE","Diode_THT:D_DO-201AD_P5.08mm_Vertical_KathodeUp","Diode symbol for simulation only. Pin order incompatible with official kicad footprints",""
"D3, ","1","LM385BZ-2.5","LM385BZ-2.5","Package_TO_SOT_THT:TO-92_Inline","2.5V Micropower Voltage Reference Diodes, TO-92",""
"Panel1, ","1","Conn_01x02","Conn_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","BUZ11","BUZ11","Package_TO_SOT_THT:TO-220F-3_Vertical","30A Id, 50V Vds, N-Channel Power MOSFET, TO-220",""
"Q2, ","1","BC548","BC548","Package_TO_SOT_THT:TO-220F-3_Vertical","0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",""
"Q3, ","1","BC556","BC556","Package_TO_SOT_THT:TO-220F-3_Vertical","0.1A Ic, 65V Vce, PNP Small Signal Transistor, TO-92",""
"R1, ","1","1k5","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R2, ","1","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R3, ","1","68k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R4, R5, ","2","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R6, ","1","22Ok","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R7, ","1","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R8, ","1","82k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R8.1, ","1","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"R10, ","1","22k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","Resistor",""
"U1, ","1","TLC271","LM741","Package_DIP:DIP-6_W7.62mm_Socket","Operational Amplifier, DIP-8/TO-99-8",""
